iter	Logloss
0	0.6931471806
1	0.6925327281
2	0.6919255244
3	0.6917756396
4	0.6917391611
5	0.6917238742
6	0.6916547245
7	0.6916367303
8	0.6916367296
9	0.6915143161
10	0.6906819692
11	0.6899149369
12	0.689825735
13	0.6892675097
14	0.689053887
15	0.6890472563
16	0.6890431063
17	0.6889625845
18	0.6883513189
19	0.6877206088
20	0.6877206084
21	0.6877206078
22	0.6875333501
23	0.6872282715
24	0.686929927
25	0.6865397939
26	0.6862560114
27	0.6861321551
28	0.6859483694
29	0.6858592612
30	0.6856290449
31	0.6852908853
32	0.685019053
33	0.6847131929
34	0.684539598
35	0.6845395904
36	0.684539583
37	0.6843487613
38	0.684145373
39	0.683578298
40	0.6834880007
41	0.6830407778
42	0.6810271332
43	0.679980315
44	0.6798064028
45	0.6797927684
46	0.6797925634
47	0.6797263128
48	0.6794923208
49	0.6793814957
50	0.6788409219
51	0.6788409215
52	0.6785425829
53	0.6783470394
54	0.6780937753
55	0.6780937753
56	0.6776022864
57	0.676603237
58	0.6765451782
59	0.6764562033
60	0.6764562032
61	0.6753532905
62	0.67506364
63	0.6750199165
64	0.6750199158
65	0.6750199155
66	0.6748977947
67	0.6748733944
68	0.6745862842
69	0.6745862838
70	0.6740435718
71	0.6738056961
72	0.6735427063
73	0.6730728943
74	0.6730728931
75	0.67297142
76	0.6729694019
77	0.6729280942
78	0.6729280937
79	0.6727981806
80	0.6724287613
81	0.6724287613
82	0.6717215702
83	0.6715534431
84	0.6713534561
85	0.6711189098
86	0.6711189098
87	0.6707376827
88	0.670471131
89	0.6703492519
90	0.6701828171
91	0.6701632457
92	0.670105225
93	0.6699952471
94	0.6697433012
95	0.6696776842
96	0.669468683
97	0.669266204
98	0.6691917358
99	0.66918684
100	0.668158293
101	0.6680126008
102	0.667722505
103	0.6677225049
104	0.667459652
105	0.6672438377
106	0.6672438377
107	0.6672438377
108	0.6670938336
109	0.6670938335
110	0.6670938333
111	0.6670585972
112	0.6670585968
113	0.6670585965
114	0.6670256503
115	0.6669637546
116	0.6666587738
117	0.6658300029
118	0.6657370808
119	0.665547717
120	0.6655090019
121	0.664802752
122	0.6646021751
123	0.6643116144
124	0.6643101378
125	0.6639901112
126	0.663984124
127	0.6629957261
128	0.6628543184
129	0.6628543184
130	0.6626399013
131	0.6624757981
132	0.6623409904
133	0.6619595342
134	0.661894742
135	0.6605770155
136	0.6605769993
137	0.6605769641
138	0.6604301277
139	0.6604301242
140	0.6603118966
141	0.6601636068
142	0.6599983289
143	0.6598908386
144	0.6596236891
145	0.6593766656
146	0.6593522208
147	0.6592364699
148	0.659231992
149	0.6591139593
150	0.6590565277
151	0.6588792438
152	0.6587390956
153	0.6586681605
154	0.6586251171
155	0.6586251162
156	0.6586251159
157	0.6583559834
158	0.6583559831
159	0.6580620759
160	0.6580131121
161	0.6578908057
162	0.6577758144
163	0.6575234484
164	0.6575234482
165	0.6575234481
166	0.6575017208
167	0.6573442417
168	0.6573442409
169	0.6572981922
170	0.6571238923
171	0.6571220763
172	0.6568525161
173	0.6567674369
174	0.6566080285
175	0.6565899303
176	0.6564216707
177	0.656385694
178	0.6561171317
179	0.6557023677
180	0.6551811035
181	0.6551087944
182	0.6545948997
183	0.6544932525
184	0.6544597029
185	0.6538242531
186	0.6538016113
187	0.6536288874
188	0.6531782582
189	0.6528406917
190	0.6526348289
191	0.652052226
192	0.6517554584
193	0.6515336048
194	0.6514578311
195	0.6511554352
196	0.6500606653
197	0.6499299155
198	0.6493207263
199	0.6491502405
200	0.6488457331
201	0.6483526684
202	0.6481038321
203	0.6478969563
204	0.6473883933
205	0.6473883912
206	0.6470845848
207	0.6466027704
208	0.646483737
209	0.6463401614
210	0.6462220119
211	0.6458523956
212	0.6455339929
213	0.6451993022
214	0.6450010706
