iter	Logloss
215	0.6447335838
216	0.6446422185
217	0.6443978649
218	0.6442137255
219	0.6440370877
220	0.6437031944
221	0.6436722394
222	0.6434882673
223	0.6431602254
224	0.6429530954
225	0.6425283089
226	0.6421665223
227	0.6419521841
228	0.6416877895
229	0.6413987639
230	0.6413602599
231	0.6404841104
232	0.6397366642
233	0.6395986184
234	0.6395613364
235	0.6394075993
236	0.6387379944
237	0.6386246467
238	0.6383776621
239	0.6376446568
240	0.6374583661
241	0.6371256488
242	0.636559579
243	0.6365122012
244	0.6360540586
245	0.635778738
246	0.6356361786
247	0.6353003141
248	0.6348095887
249	0.6344188828
250	0.6341262981
251	0.6339404078
252	0.6338343487
253	0.6337536308
254	0.6336445741
255	0.6335268524
256	0.6334926611
257	0.6334633268
258	0.6334116711
259	0.6332402288
260	0.6330641571
261	0.6325799776
262	0.6325494972
263	0.6325190334
264	0.6324415871
265	0.6320241255
266	0.6317240648
267	0.6314965694
268	0.6310923563
269	0.6307019402
270	0.6305502909
271	0.6304815172
272	0.6303607829
273	0.6301283847
274	0.6299913442
275	0.6295894427
276	0.6294383419
277	0.6293037882
278	0.6291887865
279	0.6285996851
280	0.6284628355
281	0.6280620553
282	0.6279754208
283	0.6275960178
284	0.6274374744
285	0.6270438937
286	0.6269210829
287	0.626550852
288	0.6264732969
289	0.6262281572
290	0.6261312289
291	0.6260686316
292	0.6257527834
293	0.6256383996
294	0.6254292335
295	0.6253638419
296	0.6251257045
297	0.6248793614
298	0.6247409666
299	0.6247116286
300	0.6244043771
301	0.6242250099
302	0.6240211035
303	0.6236623814
304	0.6234129046
305	0.6229094705
306	0.6224460131
307	0.622217519
308	0.6218217684
309	0.6216555928
310	0.6215008138
311	0.6211938202
312	0.6210141346
313	0.6207738038
314	0.6206718949
315	0.6202901565
316	0.6200342859
317	0.6196369921
318	0.6195689623
319	0.6193996463
320	0.6192417144
321	0.6188755259
322	0.6187164071
323	0.6186576086
324	0.618517987
325	0.61803092
326	0.6177209848
327	0.6174289462
328	0.6172444744
329	0.6169612366
330	0.6168024511
331	0.6162211904
332	0.6160918211
333	0.6159594449
334	0.6158602083
335	0.6152892714
336	0.6150754904
337	0.6146280398
338	0.6144394701
339	0.6142845883
340	0.614157154
341	0.6140146499
342	0.6138455774
343	0.6137685845
344	0.6132233277
345	0.6130117521
346	0.6129738228
347	0.6127899715
348	0.6126160731
349	0.6124843714
350	0.6122882799
351	0.6116918086
352	0.6115495806
353	0.6114845527
354	0.6111123253
355	0.6109772166
356	0.6107791407
357	0.6102871811
358	0.6101443602
359	0.6101152737
360	0.6099845956
361	0.6099366611
362	0.609809249
363	0.6097627473
364	0.6089883499
365	0.6088794251
366	0.6084478449
367	0.6075455545
368	0.6071650126
369	0.6068054173
370	0.6067638188
371	0.6066535505
372	0.6062917322
373	0.6059183076
374	0.6055859833
375	0.6055291832
376	0.6052290152
377	0.6050494281
378	0.6049389444
379	0.6046512495
380	0.6044629168
381	0.6042228376
382	0.604150528
383	0.6037546428
384	0.6036098393
385	0.6034087874
386	0.6031734313
387	0.6029993627
388	0.6028622816
389	0.6027200458
390	0.6026651553
391	0.6026081957
392	0.6023733583
393	0.6022680445
394	0.6018796524
395	0.6017823306
396	0.601726892
397	0.6016169005
398	0.6015360323
399	0.6012850028
400	0.6012062746
401	0.6011078655
402	0.6006985203
403	0.6003171832
404	0.600215922
405	0.6000909638
406	0.6000011666
407	0.5999169196
408	0.5997285488
409	0.5995791363
410	0.5992000027
411	0.5980622055
412	0.597963597
413	0.5978027306
414	0.5974041218
415	0.5971000563
416	0.5968500008
417	0.5967472932
418	0.5965377177
419	0.5963114759
420	0.5960572201
421	0.5960145702
422	0.5957405312
423	0.5954632033
424	0.5952970432
425	0.5950518204
426	0.5949103331
427	0.5947686988
428	0.5945241978
429	0.5941650821
430	0.593984466
431	0.5935909893
432	0.5930039739
433	0.5929795826
434	0.5927185494
435	0.5925437069
436	0.5922320958
437	0.5920938115
438	0.5917673043
439	0.5916940129
440	0.5912827233
441	0.5907106354
442	0.5906078943
443	0.5905405779
444	0.5903683819
445	0.5902055169
446	0.5900902468
447	0.5899767479
448	0.5897178555
449	0.5895336919
450	0.589174339
451	0.589128751
452	0.5889972394
453	0.5888706517
454	0.5887247935
455	0.5885055607
456	0.5884298544
457	0.5882506993
458	0.5881534788
459	0.5880691715
460	0.5879887411
461	0.5875473838
462	0.5872205019
463	0.587013936
464	0.5867821531
465	0.5867309503
466	0.5865346403
467	0.5864087615
468	0.5863752897
469	0.5863550643
470	0.58609325
471	0.585674543
472	0.5856188253
473	0.5855129851
474	0.5853275372
475	0.5851516332
476	0.5848773896
477	0.5847614083
478	0.5846680492
479	0.5843717222
480	0.5839693345
481	0.5838257677
482	0.5835974176
483	0.5834391848
484	0.583406278
485	0.5832656695
486	0.5830900078
487	0.5829878984
488	0.5828804835
489	0.5827127759
490	0.5826317456
491	0.5825568664
492	0.58248854
493	0.582417855
494	0.5823845139
495	0.5820525182
496	0.5815133253
497	0.5814681333
498	0.5813393665
499	0.5812833768
500	0.5809977744
501	0.5808855517
502	0.5807556185
503	0.580623972
504	0.5800521435
505	0.579361478
506	0.5792346023
507	0.579217186
508	0.5791198411
509	0.5790512459
510	0.5789722344
511	0.5789455305
512	0.5786679683
513	0.5781413171
514	0.5779197088
515	0.5778006161
516	0.5776958639
517	0.5772741717
518	0.5770751878
519	0.5766982181
520	0.576451761
521	0.5762458093
522	0.576102965
523	0.5759790947
524	0.5757977529
525	0.5756560095
526	0.5755920415
527	0.5754248838
528	0.5751525877
529	0.575094314
530	0.5749579092
531	0.5744250105
532	0.5742694253
533	0.5741605529
534	0.5740955295
535	0.5740130153
536	0.5734007353
537	0.5730747513
538	0.5730197265
539	0.5730130391
540	0.572878362
541	0.5728033306
542	0.5727693709
543	0.5726162427
544	0.5716984763
545	0.5716439192
546	0.5716097354
547	0.5715624839
548	0.5711592996
549	0.5710171701
550	0.5705180716
551	0.5702021738
552	0.5700893924
553	0.5699293678
554	0.5697713053
555	0.5694110814
556	0.569362221
557	0.5687810581
558	0.5687546655
559	0.5687073585
560	0.5685454869
561	0.5685078243
562	0.568014685
563	0.5678866298
564	0.5678401615
565	0.567664312
566	0.5674938411
567	0.5674631091
568	0.5672032261
569	0.5667580043
570	0.5665594793
571	0.5664328832
572	0.5663700616
573	0.5663047327
574	0.5660685249
575	0.5658018727
576	0.5657057077
577	0.5655104032
578	0.5654946018
579	0.5652617224
580	0.5651533505
581	0.5649500146
582	0.5648491857
583	0.5647938104
584	0.5645599879
585	0.5645283579
586	0.564405903
587	0.5641682669
588	0.5639757556
589	0.5637290016
590	0.5635106267
591	0.5630561515
592	0.562880651
593	0.5622483194
594	0.5620630359
595	0.5615096677
596	0.5614473258
597	0.5609263276
598	0.5601574982
599	0.5601144167
600	0.5599818387
601	0.5597510448
602	0.5596756546
603	0.5594350771
604	0.5591972828
605	0.5591672236
606	0.5588491054
607	0.558758373
608	0.558584672
609	0.5585092285
610	0.5581950349
611	0.5581166352
612	0.5580081461
613	0.5578142208
614	0.5576364434
615	0.5574412087
616	0.5573172403
617	0.5572927277
618	0.5571580357
619	0.5570953482
620	0.5569584304
621	0.556860954
622	0.5568486956
623	0.5568278617
624	0.5566337277
625	0.5566039374
626	0.5565735954
627	0.5561945205
628	0.5561580466
629	0.5561024398
630	0.5560855103
631	0.5560167916
632	0.5558383696
633	0.5558063535
634	0.5556888396
635	0.5556370003
636	0.5556196388
637	0.5555109895
638	0.5549299575
639	0.5548778107
640	0.554818993
641	0.5546560352
642	0.5542079548
643	0.5537576644
644	0.5536596097
645	0.5534175012
646	0.553104299
647	0.55303797
648	0.5529091489
649	0.5525809169
650	0.5525119521
651	0.552413964
652	0.5523178035
653	0.5522119736
654	0.5520458713
655	0.5520134248
656	0.5519769495
657	0.5518518079
658	0.5517573902
659	0.5517316834
660	0.5515134739
661	0.5511541713
662	0.5509413355
663	0.5507978505
664	0.5507642723
665	0.5504895928
666	0.5501774629
667	0.5500501896
668	0.5500178943
669	0.5498365687
670	0.5497277583
671	0.5496495777
672	0.5495385747
673	0.5493302894
674	0.5490885397
675	0.5489938621
676	0.5489305207
677	0.548731393
678	0.5486538699
679	0.5482488404
680	0.5481418419
681	0.5479393821
682	0.5479253263
683	0.5477789878
684	0.5474622941
685	0.5472684199
686	0.5471205354
687	0.5466432077
688	0.5463954159
689	0.546310557
690	0.5460977106
691	0.5459417716
692	0.545713789
693	0.5453388851
694	0.5451850227
695	0.5451233267
696	0.5450909229
697	0.5450393001
698	0.5449841757
699	0.5448905796
700	0.5448335131
701	0.5447434757
702	0.5446292517
703	0.5444113276
704	0.5443873998
705	0.5442794624
706	0.5440664635
707	0.5438814413
708	0.5437501517
709	0.54369656
710	0.5435196095
711	0.5432771007
712	0.5431863615
713	0.5430325316
714	0.5428578604
715	0.5426482005
716	0.5422541785
717	0.5421799606
718	0.5420273299
719	0.5418127456
720	0.5417439568
721	0.5416868137
722	0.5414723009
723	0.5414389531
724	0.5412385747
725	0.5411666553
726	0.5408078086
727	0.5407417372
728	0.5406888424
729	0.5405725614
730	0.5404886475
731	0.5403179132
732	0.5402571896
733	0.5398276704
734	0.5397614954
735	0.5393862557
736	0.5392232522
737	0.5391365046
738	0.5390902323
739	0.5386401264
740	0.5386134839
741	0.538573494
742	0.53829924
743	0.5380147876
744	0.5379505329
745	0.5377880856
746	0.5375963625
747	0.5375053602
748	0.5374652983
749	0.5372928318
750	0.536985476
751	0.5369533921
752	0.5363902019
753	0.5361773953
754	0.5360550384
755	0.5360080096
756	0.535945838
757	0.5358220472
758	0.5355885524
759	0.5353303198
760	0.535176606
761	0.5350590498
762	0.5349257879
763	0.5347824335
764	0.5347025208
765	0.5345803858
766	0.5345065006
767	0.534243103
768	0.5341545918
769	0.5340793499
770	0.5339039718
771	0.5336828493
772	0.5335266956
773	0.5333517355
774	0.5330952677
775	0.5329328986
776	0.5327622084
777	0.5327431743
778	0.5327063331
779	0.5325621023
780	0.5324109462
781	0.5323412995
782	0.5321837329
783	0.5321397897
784	0.5319903849
785	0.5318775066
786	0.5315511807
787	0.5314562546
788	0.5313272865
789	0.5311819781
790	0.5310969052
791	0.5310412284
792	0.5309513221
793	0.5308658319
794	0.5307786969
795	0.530712625
796	0.5306558534
797	0.530549867
798	0.5303516812
799	0.5302380719
800	0.5300885816
801	0.5299829329
802	0.5298856428
803	0.529768087
804	0.5295167516
805	0.5293198062
806	0.5292569396
807	0.5291947718
808	0.5287103324
809	0.5286195852
810	0.5284253794
811	0.5283766261
812	0.5282776387
813	0.5280002707
814	0.5279067933
815	0.5278905352
816	0.5277735921
817	0.5276017269
818	0.5275279272
819	0.5274136068
820	0.5272595072
821	0.5271880763
822	0.5271592427
823	0.5270565645
824	0.5269903695
825	0.526895717
826	0.5266246313
827	0.5265892578
828	0.5264927535
829	0.5262568068
830	0.5261922553
831	0.5260276775
832	0.5259721797
833	0.525497815
834	0.525283085
835	0.5251919966
836	0.5251238191
837	0.5250715733
838	0.5249561517
839	0.5248997688
840	0.524584903
841	0.5244344626
842	0.5243441971
843	0.5241132877
844	0.5240505305
845	0.5237972133
846	0.5236664164
847	0.5236120613
848	0.5234369681
849	0.523422924
850	0.5232027308
851	0.5231331063
852	0.5226181547
853	0.5223803273
854	0.5223710579
855	0.5223011179
856	0.5221680589
857	0.5221289589
858	0.5219876014
859	0.5219654774
860	0.5216373614
861	0.5215952001
862	0.5215563537
863	0.5213719208
864	0.5212850727
865	0.5212535167
866	0.5210382772
867	0.5209543283
868	0.5208198882
869	0.5207005835
870	0.5206691917
871	0.5205581182
872	0.5203917076
873	0.5200033988
874	0.5198271329
875	0.5196596054
876	0.5195342156
877	0.5194703348
878	0.5194237322
879	0.5193293793
880	0.5192939245
881	0.5192448809
882	0.5191872267
883	0.5190902601
884	0.5189678686
885	0.5189555807
886	0.5188693382
887	0.518712072
888	0.5184678428
889	0.5183674326
890	0.5183314072
891	0.5182870702
892	0.5182269309
893	0.5181112632
894	0.5180895095
895	0.5178058054
896	0.5176575524
897	0.5175377937
898	0.5174482308
899	0.5173190504
900	0.5170944533
901	0.5169904068
902	0.5168101509
903	0.5166698051
904	0.5165102443
905	0.516483463
906	0.5164352905
907	0.5162674786
908	0.5162097134
909	0.5160938251
910	0.5160584155
911	0.5160088446
912	0.515923109
913	0.515819495
914	0.5157710042
915	0.5157210313
916	0.51565412
917	0.5155902844
918	0.5154113495
919	0.5151624654
920	0.5151140702
921	0.5150527431
922	0.5149136773
923	0.5146963531
924	0.5145937292
925	0.5144654985
926	0.5143714485
927	0.5143276683
928	0.5141773294
929	0.5141426694
930	0.5138240397
931	0.5138142204
932	0.5136638795
933	0.5136493017
934	0.5136013703
935	0.5135635188
936	0.5133102924
937	0.5132408088
938	0.513074834
939	0.5129791754
940	0.5129589467
941	0.5128817906
942	0.5127922778
943	0.5125908103
944	0.5124576742
945	0.5123614232
946	0.512249254
947	0.5121937621
948	0.5121524084
949	0.5120923026
950	0.5120454786
951	0.5119550508
952	0.5118545508
953	0.5117237823
954	0.5116620648
955	0.5116144478
956	0.5115675838
957	0.5114313777
958	0.5113502784
959	0.5111516
960	0.5111266654
961	0.5109890316
962	0.5105548049
963	0.5105112442
964	0.5105026017
965	0.5103865507
966	0.5102228219
967	0.5100637217
968	0.5099602296
969	0.5099333903
970	0.5098796295
971	0.5097848668
972	0.509475768
973	0.5094272922
974	0.5093607475
975	0.5092698396
976	0.5086990078
977	0.5086567242
978	0.5084133999
979	0.50839326
980	0.5081413503
981	0.5080401301
982	0.5078953293
983	0.5078357836
984	0.5077002403
985	0.5076135819
986	0.5074759796
987	0.5073527552
988	0.5072521838
989	0.5069569691
990	0.5067917525
991	0.5067620348
992	0.5065862377
993	0.506565661
994	0.5064502134
995	0.5063190819
996	0.5062991344
997	0.5062343943
998	0.5061424455
999	0.5059300313
